RegionalMember,Year,GDP growth,Unit of Measurement, Subregion, Country Code
Developing Asia,2019,4.9,%,,
Developing Asia,2020,-0.6,%,,
Developing Asia,2021,7.4,%,,
Developing Asia,2022,4.3,%,,
Developing Asia,2023,5,%,,
Developing Asia,2024 forecast,4.9,%,,
Developing Asia,2025 forecast,4.9,%,,
Developing Asia excluding the PRC,2019,4,%,,
Developing Asia excluding the PRC,2020,-3.2,%,,
Developing Asia excluding the PRC,2021,6.4,%,,
Developing Asia excluding the PRC,2022,5.5,%,,
Developing Asia excluding the PRC,2023,4.8,%,,
Developing Asia excluding the PRC,2024 forecast,5,%,,
Developing Asia excluding the PRC,2025 forecast,5.3,%,,
Caucasus and Central Asia,2019,4.8,%,Central Asia,
Caucasus and Central Asia,2020,-1.9,%,Central Asia,
Caucasus and Central Asia,2021,5.8,%,Central Asia,
Caucasus and Central Asia,2022,5.2,%,Central Asia,
Caucasus and Central Asia,2023,5.3,%,Central Asia,
Caucasus and Central Asia,2024 forecast,4.3,%,Central Asia,
Caucasus and Central Asia,2025 forecast,5,%,Central Asia,
Armenia,2019,7.6,%,Central Asia,ARM
Armenia,2020,-7.2,%,Central Asia,ARM
Armenia,2021,5.8,%,Central Asia,ARM
Armenia,2022,12.6,%,Central Asia,ARM
Armenia,2023,8.7,%,Central Asia,ARM
Armenia,2024 forecast,5.7,%,Central Asia,ARM
Armenia,2025 forecast,6,%,Central Asia,ARM
Azerbaijan,2019,2.3,%,Central Asia,AZE
Azerbaijan,2020,-4.3,%,Central Asia,AZE
Azerbaijan,2021,5.6,%,Central Asia,AZE
Azerbaijan,2022,4.6,%,Central Asia,AZE
Azerbaijan,2023,1.1,%,Central Asia,AZE
Azerbaijan,2024 forecast,1.2,%,Central Asia,AZE
Azerbaijan,2025 forecast,1.6,%,Central Asia,AZE
Georgia,2019,5,%,Central Asia,GEO
Georgia,2020,-6.8,%,Central Asia,GEO
Georgia,2021,10.5,%,Central Asia,GEO
Georgia,2022,10.4,%,Central Asia,GEO
Georgia,2023,7,%,Central Asia,GEO
Georgia,2024 forecast,5,%,Central Asia,GEO
Georgia,2025 forecast,5.5,%,Central Asia,GEO
Kazakhstan,2019,4.5,%,Central Asia,KAZ
Kazakhstan,2020,-2.5,%,Central Asia,KAZ
Kazakhstan,2021,4.3,%,Central Asia,KAZ
Kazakhstan,2022,3.2,%,Central Asia,KAZ
Kazakhstan,2023,5.1,%,Central Asia,KAZ
Kazakhstan,2024 forecast,3.8,%,Central Asia,KAZ
Kazakhstan,2025 forecast,5.3,%,Central Asia,KAZ
Kyrgyz Republic,2019,4.6,%,Central Asia,KGZ
Kyrgyz Republic,2020,-7.1,%,Central Asia,KGZ
Kyrgyz Republic,2021,5.5,%,Central Asia,KGZ
Kyrgyz Republic,2022,9,%,Central Asia,KGZ
Kyrgyz Republic,2023,6.2,%,Central Asia,KGZ
Kyrgyz Republic,2024 forecast,5,%,Central Asia,KGZ
Kyrgyz Republic,2025 forecast,4.5,%,Central Asia,KGZ
Tajikistan,2019,7.5,%,Central Asia,TJK
Tajikistan,2020,4.5,%,Central Asia,TJK
Tajikistan,2021,9.2,%,Central Asia,TJK
Tajikistan,2022,8,%,Central Asia,TJK
Tajikistan,2023,8.3,%,Central Asia,TJK
Tajikistan,2024 forecast,6.5,%,Central Asia,TJK
Tajikistan,2025 forecast,6.5,%,Central Asia,TJK
Turkmenistan,2019,,%,Central Asia,TKM
Turkmenistan,2020,,%,Central Asia,TKM
Turkmenistan,2021,5,%,Central Asia,TKM
Turkmenistan,2022,6.2,%,Central Asia,TKM
Turkmenistan,2023,6.3,%,Central Asia,TKM
Turkmenistan,2024 forecast,6.5,%,Central Asia,TKM
Turkmenistan,2025 forecast,6,%,Central Asia,TKM
Uzbekistan,2019,6,%,Central Asia,UZB
Uzbekistan,2020,2,%,Central Asia,UZB
Uzbekistan,2021,7.4,%,Central Asia,UZB
Uzbekistan,2022,5.7,%,Central Asia,UZB
Uzbekistan,2023,6,%,Central Asia,UZB
Uzbekistan,2024 forecast,5.5,%,Central Asia,UZB
Uzbekistan,2025 forecast,5.6,%,Central Asia,UZB
East Asia,2019,5.4,%,East Asia,
East Asia,2020,1.9,%,East Asia,
East Asia,2021,8,%,East Asia,
East Asia,2022,2.9,%,East Asia,
East Asia,2023,4.7,%,East Asia,
East Asia,2024 forecast,4.5,%,East Asia,
East Asia,2025 forecast,4.2,%,East Asia,
"Hong Kong, China",2019,-1.7,%,East Asia,HKG
"Hong Kong, China",2020,-6.5,%,East Asia,HKG
"Hong Kong, China",2021,6.5,%,East Asia,HKG
"Hong Kong, China",2022,-3.7,%,East Asia,HKG
"Hong Kong, China",2023,3.2,%,East Asia,HKG
"Hong Kong, China",2024 forecast,2.8,%,East Asia,HKG
"Hong Kong, China",2025 forecast,3,%,East Asia,HKG
Mongolia,2019,5.6,%,East Asia,MNG
Mongolia,2020,-4.6,%,East Asia,MNG
Mongolia,2021,1.6,%,East Asia,MNG
Mongolia,2022,5,%,East Asia,MNG
Mongolia,2023,7,%,East Asia,MNG
Mongolia,2024 forecast,4.1,%,East Asia,MNG
Mongolia,2025 forecast,6,%,East Asia,MNG
People's Republic of China,2019,6,%,East Asia,CHN
People's Republic of China,2020,2.2,%,East Asia,CHN
People's Republic of China,2021,8.4,%,East Asia,CHN
People's Republic of China,2022,3,%,East Asia,CHN
People's Republic of China,2023,5.2,%,East Asia,CHN
People's Republic of China,2024 forecast,4.8,%,East Asia,CHN
People's Republic of China,2025 forecast,4.5,%,East Asia,CHN
Republic of Korea,2019,2.2,%,East Asia,KOR
Republic of Korea,2020,-0.7,%,East Asia,KOR
Republic of Korea,2021,4.3,%,East Asia,KOR
Republic of Korea,2022,2.6,%,East Asia,KOR
Republic of Korea,2023,1.4,%,East Asia,KOR
Republic of Korea,2024 forecast,2.2,%,East Asia,KOR
Republic of Korea,2025 forecast,2.3,%,East Asia,KOR
"Taipei,China",2019,3.1,%,East Asia,TWN
"Taipei,China",2020,3.4,%,East Asia,TWN
"Taipei,China",2021,6.6,%,East Asia,TWN
"Taipei,China",2022,2.6,%,East Asia,TWN
"Taipei,China",2023,1.3,%,East Asia,TWN
"Taipei,China",2024 forecast,3,%,East Asia,TWN
"Taipei,China",2025 forecast,2.7,%,East Asia,TWN
South Asia,2019,4,%,South Asia,
South Asia,2020,-4.4,%,South Asia,
South Asia,2021,8.8,%,South Asia,
South Asia,2022,6.6,%,South Asia,
South Asia,2023,6.4,%,South Asia,
South Asia,2024 forecast,6.3,%,South Asia,
South Asia,2025 forecast,6.6,%,South Asia,
Afghanistan,2019,3.9,%,South Asia,AFG
Afghanistan,2020,-2.4,%,South Asia,AFG
Afghanistan,2021,-2.1,%,South Asia,AFG
Afghanistan,2022,-20.7,%,South Asia,AFG
Afghanistan,2023,-6.2,%,South Asia,AFG
Afghanistan,2024 forecast,,%,South Asia,AFG
